72,AA,12478,New York, NY,LAX,Los Angeles, CA,1202,1451,349,324,2475
73,AA,12478,New York, NY,LAX,Los Angeles, CA,1153,1433,340,307,2475
74,AA,12478,New York, NY,LAX,Los Angeles, CA,1155,1458,363,339,2475
75,AA,12478,New York, NY,LAX,Los Angeles, CA,1158,1511,373,347,2475
76,AA,12478,New York, NY,LAX,Los Angeles, CA,1304,1544,340,311,2475
77,AA,12478,New York, NY,LAX,Los Angeles, CA,1154,1439,345,320,2475
78,AA,12478,New York, NY,LAX,Los Angeles, CA,1149,1437,348,323,2475
79,AA,12478,New York, NY,LAX,Los Angeles, CA,1152,1459,367,345,2475
80,AA,12478,New York, NY,LAX,Los Angeles, CA,1149,1508,379,358,2475
81,AA,12478,New York, NY,LAX,Los Angeles, CA,1155,1535,400,367,2475
82,AA,12478,New York, NY,LAX,Los Angeles, CA,1156,1527,391,346,2475
83,AA,12478,New York, NY,LAX,Los Angeles, CA,1152,1521,389,361,2475
84,AA,12478,New York, NY,LAX,Los Angeles, CA,1158,1512,374,346,2475
85,AA,12478,New York, NY,LAX,Los Angeles, CA,1219,1626,427,353,2475
86,AA,12478,New York, NY,LAX,Los Angeles, CA,1154,1508,374,338,2475
87,AA,12478,New York, NY,LAX,Los Angeles, CA,1150,1507,377,337,2475
88,AA,12478,New York, NY,LAX,Los Angeles, CA,1150,1440,350,329,2475
89,AA,12478,New York, NY,LAX,Los Angeles, CA,1159,1504,365,333,2475
90,AA,12478,New York, NY,LAX,Los Angeles, CA,1157,1525,388,351,2475
91,AA,12478,New York, NY,LAX,Los Angeles, CA,1153,1451,358,338,2475
92,AA,12478,New York, NY,LAX,Los Angeles, CA,1200,1500,360,325,2475
93,AA,12478,New York, NY,LAX,Los Angeles, CA,1153,1524,391,340,2475
94,AA,12478,New York, NY,LAX,Los Angeles, CA,1154,1516,382,348,2475
95,AA,12478,New York, NY,LAX,Los Angeles, CA,1200,1510,370,344,2475
96,AA,12892,Los Angeles, CA,JFK,New York, NY,1216,2039,323,302,2475
97,AA,12892,Los Angeles, CA,JFK,New York, NY,1215,2053,338,311,2475
98,AA,12892,Los Angeles, CA,JFK,New York, NY,1209,2031,322,293,2475
99,AA,12892,Los Angeles, CA,JFK,New York, NY,1218,2056,338,309,2475
100,AA,12892,Los Angeles, CA,JFK,New York, NY,1219,2029,310,285,2475
101,AA,12892,Los Angeles, CA,JFK,New York, NY,1206,2023,317,295,2475
102,AA,12892,Los Angeles, CA,JFK,New York, NY,1223,2021,298,280,2475
